model,trainable parameters,training duration total,training duration per epoch,epochs,test sparse categorical crossentropy,test sparse categorical accuracy
gru,21927,596.1074464321136,13.547896509820765,44,0.1766044199466705,0.9375
differentiable_neural_computer,26540,4416.756285190582,100.38082466342232,44,0.193127304315567,0.9301915168762208
transformer,22167,701.4590401649475,19.484973337915207,36,0.2015812844038009,0.9256552457809448
memory_augmented_transformer,18424,6628.035249471664,184.11209026310175,36,0.2413312643766403,0.917338728904724
ct_gru,21991,1225.8363814353943,31.431702088087032,39,0.2429865449666977,0.9165826439857484
ode_lstm,27207,1220.424885749817,29.05773537499564,42,0.247891753911972,0.910786271095276
lstm,18887,500.95293045043945,13.539268390552415,37,0.2868511974811554,0.8956653475761414
matrix_exponential_unitary_rnn,20231,4331.295170545578,69.85959952492868,62,0.3534221351146698,0.8752520084381104
recurrent_network_augmented_transformer,3871,3999.66801404953,93.0155352104542,43,0.3891765475273132,0.8639112710952759
recurrent_network_attention_transformer,2491,7008.824137926102,166.87676518871672,42,0.3933239579200744,0.858618974685669
unitary_rnn,4983,7662.427055358887,174.1460694399747,44,0.4890463948249817,0.8225806355476379
ct_rnn,18439,5046.103566169739,123.07569673584727,41,0.5704460144042969,0.789818525314331
unitary_ncp,3579,5471.238957881928,105.21613380542168,52,0.6053672432899475,0.7862903475761414
neural_circuit_policies,2857,7684.847346544266,125.98110404170929,61,0.769163966178894,0.7550403475761414
