model,trainable parameters,training duration total,training duration per epoch,epochs,test mean squared error
gru,20241,475.1603271961212,20.65914466070092,23,0.0001453207951271
transformer,21889,405.4913468360901,31.19164206431462,13,0.0001726806804072
differentiable_neural_computer,24774,4510.765236854553,155.54362885705356,29,0.000216975910007
recurrent_network_augmented_transformer,3729,3220.6229796409607,201.28893622756004,16,0.0002739009505603
ct_gru,19073,1054.5636296272278,47.93471043760126,22,0.0006293490296229
recurrent_network_attention_transformer,2349,11264.402160167694,363.3678116183127,31,0.0014858946669846
matrix_exponential_unitary_rnn,17409,5552.296912193298,106.7749406191019,52,0.0044356877915561
ct_rnn,17025,8382.470822811127,194.94118192584017,43,0.0170667357742786
unitary_rnn,2929,12523.240156173706,272.2443512211675,46,0.1427483558654785
unitary_ncp,1885,1632.309992313385,102.01937451958656,16,0.1608374416828155
lstm,17217,500.18072962760925,19.237720370292664,26,0.1614070981740951
ode_lstm,25537,665.6475236415863,44.37650157610575,15,0.1642321944236755
neural_circuit_policies,1349,756.9191014766693,126.15318357944489,6,0.1643500626087188
memory_augmented_transformer,18066,3352.0931973457336,279.3410997788112,12,0.1694071739912033
